seed,member,horizon,loss_estimate,loss_lower,loss_upper,leakage_count,leakage_lower,leakage_upper,survival,hop_mae,asymmetry_mae,status
2,equilibrium,16,0.06699426441152088,0.059358552187822065,0.07512431968956709,20239,0.6064253214234157,0.6287798803802174,0.024307607191041764,0.006165435514909792,0.008040837710154817,fail
2,equilibrium,30,0.04935570713137511,0.04240374232543724,0.05688189965486323,19432,0.5816846423803208,0.6042830516624742,0.03376197281904323,0.003846312701563998,0.00731146413063183,fail
2,equilibrium,equilibrium,0.046573449700969036,0.039750704922030644,0.05398111862496882,19356,0.5793561924125716,0.601974511994752,0.035430039956928096,0.0035301179411042164,0.007060235882208431,fail
2,frozen,1,0.22722778642084968,0.220551257533892,0.23357661372680727,27371,0.8266398348071511,0.8437100983149737,4.160160425530484e-09,0.1042369509905797,0.0667078992757758,fail
2,frozen,2,0.22210963833906888,0.21520693198372542,0.22871163100133038,27130,0.8191380814992953,0.8365077267054093,3.605613063972932e-06,0.07216612952971348,0.048751300196650395,fail
2,frozen,4,0.1917620031965322,0.18384812666455158,0.19955974142320118,25293,0.7621287944962625,0.7814361629364865,0.0004039213496578983,0.0398724355031424,0.029038010877383613,fail
2,frozen,8,0.13075126002000856,0.12213396963699333,0.1395637144224254,22558,0.6776940258189555,0.6990003621853327,0.006464892899500193,0.016692015358210133,0.013538042659861933,fail
2,frozen,16,0.06995757701338584,0.06223319501078149,0.07816402603411576,20342,0.609585215363244,0.6319043274901162,0.023862513477415328,0.006151592527836396,0.007875004599534361,fail
2,frozen,30,0.051767924910831264,0.04470694666527223,0.05939202017917099,19550,0.5853003837704311,0.6078668467938333,0.0332113266611904,0.0038048340270673874,0.007175291709951759,fail
2,frozen,equilibrium,0.049095873217782034,0.04215190948667089,0.05661335252901455,19461,0.5825731984904235,0.6051638731740903,0.03486478110519601,0.0034710687472996903,0.006942137494599382,fail
